customer_id,stream_id,date,subscription_stopped
1,1356,2018-12-01,0
1,1540,2018-12-04,0
1,1395,2018-12-11,0
1,1255,2018-12-22,0
1,1697,2018-12-23,0
1,1522,2019-01-04,0
1,1170,2019-01-06,0
1,1314,2019-01-11,0
1,1448,2019-02-07,0
1,1698,2019-02-08,0
1,1505,2019-02-11,0
1,1425,2019-02-12,0
1,1200,2019-02-17,0
1,1235,2019-02-18,0
1,1673,2019-02-18,0
1,1378,2019-02-27,0
1,1632,2019-02-28,0
1,1476,2019-03-05,0
1,1721,2019-03-09,0
1,1557,2019-03-11,0
1,1521,2019-03-12,0
2,1765,2019-04-01,0
2,1710,2019-04-05,0
2,1608,2019-04-08,0
2,1405,2019-04-10,0
2,1089,2019-04-14,0
2,1374,2019-04-15,0
2,1368,2019-04-17,0
2,1348,2019-04-22,0
2,1233,2019-04-28,0
2,1519,2019-05-02,0
2,1302,2019-05-10,0
2,1610,2019-05-11,0
2,1047,2019-05-14,0
2,1450,2019-05-21,0
2,1749,2019-05-23,0
2,1497,2019-06-07,1
3,1689,2019-01-24,0
3,1414,2019-01-27,0
3,1157,2019-01-27,0
3,1401,2019-02-12,0
3,1374,2019-02-13,0
3,1143,2019-02-19,0
3,1540,2019-02-27,0
3,1548,2019-03-01,0
3,1455,2019-03-09,0
3,1170,2019-03-17,0
3,1428,2019-03-24,0
3,1510,2019-03-26,0
3,1552,2019-03-28,0
3,1617,2019-04-11,0
3,1556,2019-04-14,0
3,1650,2019-04-22,0
3,1162,2019-05-01,0
3,1120,2019-05-02,0
3,1231,2019-05-07,0
3,1354,2019-05-10,0
3,1646,2019-05-11,0
3,1421,2019-05-16,0
3,1020,2019-05-21,0
3,1319,2019-05-24,0
3,1689,2019-05-30,0
4,1585,2018-01-11,0
4,1040,2018-01-16,0
4,1199,2018-01-23,0
4,1024,2018-01-25,0
4,1263,2018-01-31,0
4,1389,2018-02-09,0
4,1263,2018-02-17,0
4,1223,2018-02-24,0
4,1432,2018-02-24,0
4,1195,2018-02-24,0
4,1271,2018-03-06,0
4,1427,2018-03-06,0
4,1438,2018-03-06,0
4,1563,2018-03-09,0
4,1765,2018-03-10,0
4,1714,2018-03-23,0
4,1160,2018-03-25,0
4,1140,2018-03-28,0
5,1461,2019-03-12,0
5,1053,2019-03-12,0
5,1253,2019-03-13,0
5,1683,2019-03-17,0
5,1755,2019-03-18,0
5,1511,2019-03-18,0
5,1186,2019-03-19,0
5,1156,2019-03-20,0
5,1321,2019-03-28,0
5,1388,2019-03-31,0
5,1243,2019-04-05,0
5,1275,2019-04-07,0
5,1456,2019-04-19,0
5,1574,2019-04-24,0
5,1210,2019-04-26,0
5,1221,2019-05-03,0
5,1694,2019-05-04,0
5,1297,2019-05-05,0
5,1508,2019-05-05,0
5,1678,2019-05-10,0
5,1280,2019-05-20,0
6,1709,2018-06-27,0
6,1715,2018-06-27,0
6,1714,2018-06-27,0
6,1309,2018-06-29,0
6,1408,2018-07-06,0
6,1248,2018-07-21,0
6,1109,2018-07-24,0
6,1110,2018-07-27,0
6,1151,2018-07-30,0
6,1626,2018-08-07,0
6,1152,2018-08-08,0
6,1091,2018-08-16,0
6,1221,2018-08-16,0
